state,total_inc,total_pop,inc_rate,edu_spend,pov_rate,unemploy_rate
Alabama,41177,4779736,733,5128,19.0 ,10.5
Alaska,4206,710231,861,7729,9.9 ,7.9
Arizona,67767,6392017,592,4902,17.4 ,10.4
Arkansas,25844,2915918,1060,5517,18.8 ,8.2
California,256807,37253956,886,5840,15.8 ,12.2
Colorado,40568,5029196,689,5738,13.4 ,8.7
Connecticut,20059,3574097,807,8865,10.1 ,9.1
Delaware,6457,897934,561,6944,11.8 ,8.4
District of Columbia,3598,601723,719,12221,19.2 ,9.4
Florida,167453,18801310,598,5130,16.5 ,11.1
Georgia,104012,9687653,891,6064,17.9 ,10.5
Hawaii,5673,1360301,1074,6497,10.7 ,6.9
Idaho,11275,1567582,417,4397,15.7 ,9.0
Illinois,70828,12830632,719,6708,13.8 ,10.4
Indiana,48694,6483802,552,5555,15.3 ,10.4
Iowa,13309,3046355,751,6340,12.6 ,6.0
Kansas,18009,2853118,437,5983,13.6 ,7.1
Kentucky,41122,4339367,631,5732,19.0 ,10.2
Louisiana,60804,4533372,948,6319,18.7 ,8.0
Maine,3679,1328361,1341,7293,12.9 ,8.1
Maryland,35832,5773552,277,8340,9.9 ,7.7
Massachusetts,24683,6547629,621,8219,11.4 ,8.3
Michigan,62083,9883640,377,5980,16.8 ,12.6
Minnesota,20397,5303925,628,6700,11.6 ,7.4
Mississippi,34273,2967297,385,4949,22.4 ,10.4
Missouri,41956,5988927,1155,6140,15.3 ,9.6
Montana,5338,989415,701,6102,14.6 ,7.3
Nebraska,8084,1826341,540,6365,12.9 ,4.6
Nevada,19891,2700551,443,5221,14.9 ,13.5
New Hampshire,4851,1316470,737,7152,8.3 ,5.8
New Jersey,44468,8791894,368,10244,10.3 ,9.5
New Mexico,17907,2059179,506,5679,20.4 ,8.1
New York,95306,19378102,870,10895,14.9 ,8.6
North Carolina,61680,9535483,492,5550,17.5 ,10.9
North Dakota,2489,672591,647,6622,13.0 ,3.8
Ohio,76590,11536504,370,6806,15.8 ,10.3
Oklahoma,40562,3751351,664,4572,16.9 ,6.8
Oregon,22203,3831074,1081,5318,15.8 ,10.6
Pennsylvania,97820,12702379,580,7517,13.4 ,8.5
Rhode Island,3783,1052567,770,8258,14.0 ,11.2
South Carolina,41649,4625364,359,5660,18.2 ,11.2
South Dakota,6327,814180,900,5294,14.4 ,5.0
Tennessee,46957,6346105,777,5009,17.7 ,9.7
Texas,267405,25145561,740,5991,17.9 ,8.1
Utah,12666,2763885,1063,3694,13.2 ,7.8
Vermont,1592,625741,458,9168,12.7 ,6.1
Virginia,65240,8001024,254,6893,11.1 ,7.1
Washington,31960,6724540,815,5965,13.4 ,10.0
West Virginia,16591,1852994,475,5911,18.1 ,8.7
Wisconsin,38102,5686986,895,6168,13.2 ,8.7
Wyoming,3576,563626,670,9323,11.2 ,6.4